state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
ID,15-05-2021,107,107,107,3.27,3.27,3.27,3274,3274,3274,POINT (-114.659366 44.389073)
IN,15-05-2021,772,772,773,4.59,3.76,5.42,16831,16505,17157,POINT (-86.2818 39.919991)
KS,15-05-2021,158,142,173,2.01,-0.72,4.74,7848,7831,7865,POINT (-98.38018 38.484729)
LA,15-05-2021,237,234,240,1.94,1.57,2.3,12456,12454,12459,POINT (-91.840238 30.921314)
MD,15-05-2021,812,812,812,8.29,8.29,8.29,9798,9798,9798,POINT (-76.687282 38.946466)
MI,15-05-2021,1890,1890,1890,9.23,9.23,9.23,20481,20481,20481,POINT (-85.730977 44.874798)
AL,16-05-2021,455,455,455,3.28,3.28,3.28,13886,13886,13886,POINT (-86.844516 32.756889)
AR,16-05-2021,196,193,198,2.59,2.59,2.59,7555,7555,7555,POINT (-92.439162 34.899825)
CA,16-05-2021,1629,1617,1640,2.8,2.45,3.16,58091,57627,58554,POINT (-119.662127 37.211164)
CT,16-05-2021,234,234,234,3.01,3.01,3.01,7777,7777,7777,POINT (-72.738288 41.575155)
DC,16-05-2021,133,133,133,4.86,4.86,4.86,2736,2736,2736,POINT (-77.016275 38.904785)
GA,16-05-2021,1098,1098,1098,5.61,5.61,5.61,19582,19582,19582,POINT (-83.426574 32.638481)
ID,16-05-2021,115,115,115,3.51,3.51,3.51,3273,3273,3273,POINT (-114.659366 44.389073)
IN,16-05-2021,798,794,801,4.75,4.75,4.75,16784,16784,16784,POINT (-86.2818 39.919991)
KS,16-05-2021,169,169,169,2.13,2.13,2.13,7949,7934,7964,POINT (-98.38018 38.484729)
LA,16-05-2021,241,238,244,1.97,1.97,1.97,12446,12446,12446,POINT (-91.840238 30.921314)
MD,16-05-2021,829,829,829,8.5,8.5,8.5,9756,9756,9756,POINT (-76.687282 38.946466)
MI,16-05-2021,1861,1861,1861,9.15,9.15,9.15,20341,20341,20341,POINT (-85.730977 44.874798)
AL,17-05-2021,416,415,417,2.99,2.99,2.99,13893,13893,13893,POINT (-86.844516 32.756889)
AR,17-05-2021,207,207,207,2.7,2.7,2.7,7657,7657,7657,POINT (-92.439162 34.899825)
CA,17-05-2021,1646,1644,1647,2.83,2.81,2.86,58110,58097,58124,POINT (-119.662127 37.211164)
CT,17-05-2021,232,232,232,2.99,2.99,2.99,7753,7753,7753,POINT (-72.738288 41.575155)
DC,17-05-2021,135,135,135,4.94,4.94,4.94,2735,2735,2735,POINT (-77.016275 38.904785)
GA,17-05-2021,1117,1117,1117,5.8,5.8,5.8,19249,19249,19249,POINT (-83.426574 32.638481)
ID,17-05-2021,119,119,119,3.66,3.66,3.66,3248,3248,3248,POINT (-114.659366 44.389073)
IN,17-05-2021,803,803,803,4.78,4.78,4.78,16802,16802,16802,POINT (-86.2818 39.919991)
KS,17-05-2021,167,167,167,2.1,2.1,2.1,7937,7934,7940,POINT (-98.38018 38.484729)
LA,17-05-2021,260,260,260,2.12,2.12,2.12,12484,12484,12484,POINT (-91.840238 30.921314)
MD,17-05-2021,812,812,812,8.32,8.32,8.32,9756,9756,9756,POINT (-76.687282 38.946466)
MI,17-05-2021,1786,1785,1788,8.78,8.64,8.91,20349,20306,20392,POINT (-85.730977 44.874798)
AL,18-05-2021,376,376,376,2.7,2.7,2.7,13917,13917,13917,POINT (-86.844516 32.756889)
AR,18-05-2021,208,208,208,2.67,2.67,2.67,7783,7783,7783,POINT (-92.439162 34.899825)
CA,18-05-2021,1641,1640,1642,2.8,2.78,2.81,58664,58664,58665,POINT (-119.662127 37.211164)
CT,18-05-2021,200,199,201,2.58,2.58,2.58,7747,7747,7747,POINT (-72.738288 41.575155)
DC,18-05-2021,131,131,131,4.76,4.76,4.76,2754,2754,2754,POINT (-77.016275 38.904785)
GA,18-05-2021,1142,1142,1142,5.9,5.9,5.9,19358,19358,19358,POINT (-83.426574 32.638481)
ID,18-05-2021,115,115,115,3.52,3.52,3.52,3264,3264,3264,POINT (-114.659366 44.389073)
IN,18-05-2021,839,839,839,4.98,4.98,4.98,16850,16850,16850,POINT (-86.2818 39.919991)
KS,18-05-2021,167,167,167,2.09,2.09,2.09,8003,8000,8006,POINT (-98.38018 38.484729)
LA,18-05-2021,268,268,268,2.18,2.18,2.18,12507,12507,12507,POINT (-91.840238 30.921314)
MD,18-05-2021,805,805,805,8.27,8.27,8.27,9739,9739,9739,POINT (-76.687282 38.946466)
MI,18-05-2021,1772,1772,1772,8.55,8.55,8.55,20734,20734,20734,POINT (-85.730977 44.874798)
AL,19-05-2021,381,381,381,2.73,2.73,2.73,13940,13940,13940,POINT (-86.844516 32.756889)
AR,19-05-2021,210,210,210,2.69,2.69,2.69,7797,7797,7797,POINT (-92.439162 34.899825)
CA,19-05-2021,1654,1653,1656,2.8,2.8,2.8,59071,59071,59071,POINT (-119.662127 37.211164)
CT,19-05-2021,183,182,184,2.35,2.35,2.35,7775,7775,7775,POINT (-72.738288 41.575155)
DC,19-05-2021,121,121,121,4.39,4.39,4.39,2754,2754,2754,POINT (-77.016275 38.904785)
GA,19-05-2021,1114,1114,1114,5.74,5.74,5.74,19409,19409,19409,POINT (-83.426574 32.638481)
ID,19-05-2021,123,123,123,3.74,3.74,3.74,3287,3287,3287,POINT (-114.659366 44.389073)
IN,19-05-2021,829,829,829,4.91,4.91,4.91,16884,16884,16884,POINT (-86.2818 39.919991)
KS,19-05-2021,161,161,161,2.01,2.01,2.01,7999,7986,8012,POINT (-98.38018 38.484729)
LA,19-05-2021,271,271,271,2.2,2.2,2.2,12541,12541,12541,POINT (-91.840238 30.921314)
MD,19-05-2021,761,761,761,7.8,7.8,7.8,9761,9761,9761,POINT (-76.687282 38.946466)
MI,19-05-2021,1681,1681,1681,8.08,8.08,8.08,20816,20816,20816,POINT (-85.730977 44.874798)
AL,20-05-2021,376,376,376,2.7,2.7,2.7,13938,13938,13938,POINT (-86.844516 32.756889)
AR,20-05-2021,215,215,215,2.76,2.76,2.76,7800,7800,7800,POINT (-92.439162 34.899825)
CA,20-05-2021,1585,1585,1585,2.69,2.69,2.69,59008,59008,59008,POINT (-119.662127 37.211164)
CT,20-05-2021,184,184,184,2.37,2.37,2.37,7764,7764,7764,POINT (-72.738288 41.575155)
DC,20-05-2021,120,118,121,4.34,4.34,4.34,2756,2756,2756,POINT (-77.016275 38.904785)
GA,20-05-2021,1062,1062,1062,5.49,5.49,5.49,19346,19346,19346,POINT (-83.426574 32.638481)
ID,20-05-2021,118,118,118,3.58,3.58,3.58,3292,3292,3292,POINT (-114.659366 44.389073)
IN,20-05-2021,780,779,782,4.62,4.62,4.62,16897,16897,16897,POINT (-86.2818 39.919991)
KS,20-05-2021,159,159,159,1.99,1.99,1.99,8006,8006,8006,POINT (-98.38018 38.484729)
LA,20-05-2021,260,259,261,2.1,2.1,2.1,12563,12563,12563,POINT (-91.840238 30.921314)
MD,20-05-2021,738,735,741,7.6,7.6,7.6,9712,9712,9712,POINT (-76.687282 38.946466)
MI,20-05-2021,1644,1643,1644,7.92,7.92,7.92,20752,20752,20752,POINT (-85.730977 44.874798)
AL,21-05-2021,361,360,362,2.59,2.59,2.59,13929,13929,13929,POINT (-86.844516 32.756889)
AR,21-05-2021,222,222,222,2.85,2.85,2.85,7790,7790,7790,POINT (-92.439162 34.899825)
CA,21-05-2021,1518,1514,1521,2.58,2.58,2.58,58870,58870,58870,POINT (-119.662127 37.211164)
CT,21-05-2021,196,196,196,2.52,2.52,2.52,7777,7777,7777,POINT (-72.738288 41.575155)
DC,21-05-2021,109,109,109,3.96,3.96,3.96,2754,2754,2754,POINT (-77.016275 38.904785)
GA,21-05-2021,1027,1026,1028,5.35,5.2,5.5,19199,19141,19257,POINT (-83.426574 32.638481)
ID,21-05-2021,122,122,122,3.73,3.73,3.73,3269,3269,3269,POINT (-114.659366 44.389073)
IN,21-05-2021,784,783,785,4.64,4.64,4.64,16899,16899,16899,POINT (-86.2818 39.919991)
KS,21-05-2021,172,172,172,2.15,2.15,2.15,7994,7994,7994,POINT (-98.38018 38.484729)
LA,21-05-2021,248,246,250,2.01,2.01,2.01,12541,12541,12541,POINT (-91.840238 30.921314)
MD,21-05-2021,712,709,715,7.3,7.3,7.3,9758,9758,9758,POINT (-76.687282 38.946466)
MI,21-05-2021,1560,1560,1561,7.52,7.52,7.52,20761,20761,20761,POINT (-85.730977 44.874798)
AL,22-05-2021,351,350,352,2.53,2.53,2.53,13895,13895,13895,POINT (-86.844516 32.756889)
AR,22-05-2021,219,219,219,2.83,2.83,2.83,7728,7728,7728,POINT (-92.439162 34.899825)
CA,22-05-2021,1536,1532,1540,2.62,2.62,2.62,58633,58633,58633,POINT (-119.662127 37.211164)
CT,22-05-2021,176,175,177,2.26,2.26,2.26,7775,7775,7775,POINT (-72.738288 41.575155)
DC,22-05-2021,123,123,123,4.48,4.48,4.48,2746,2746,2746,POINT (-77.016275 38.904785)
GA,22-05-2021,1023,1022,1024,5.33,5.28,5.38,19196,19183,19209,POINT (-83.426574 32.638481)
ID,22-05-2021,116,115,117,3.55,3.55,3.55,3267,3267,3267,POINT (-114.659366 44.389073)
IN,22-05-2021,753,752,754,4.47,4.41,4.54,16830,16817,16843,POINT (-86.2818 39.919991)
KS,22-05-2021,175,175,175,2.19,2.19,2.19,7980,7967,7993,POINT (-98.38018 38.484729)
LA,22-05-2021,246,246,247,2.01,2.01,2.01,12448,12448,12448,POINT (-91.840238 30.921314)
MD,22-05-2021,671,671,671,6.92,6.92,6.92,9698,9698,9698,POINT (-76.687282 38.946466)
MI,22-05-2021,1484,1482,1487,7.2,7.2,7.2,20610,20610,20610,POINT (-85.730977 44.874798)
AL,23-05-2021,361,360,362,2.6,2.6,2.6,13893,13893,13893,POINT (-86.844516 32.756889)
AR,23-05-2021,211,211,211,2.76,2.76,2.76,7642,7642,7642,POINT (-92.439162 34.899825)
CA,23-05-2021,1509,1507,1511,2.6,2.6,2.6,58125,58125,58125,POINT (-119.662127 37.211164)
CT,23-05-2021,163,163,163,2.1,2.1,2.1,7764,7764,7764,POINT (-72.738288 41.575155)
DC,23-05-2021,111,111,111,4.1,4.1,4.1,2710,2710,2710,POINT (-77.016275 38.904785)
GA,23-05-2021,1007,1006,1008,5.25,5.25,5.25,19188,19188,19188,POINT (-83.426574 32.638481)
ID,23-05-2021,116,116,116,3.55,3.55,3.55,3272,3272,3272,POINT (-114.659366 44.389073)
IN,23-05-2021,714,711,717,4.25,3.43,5.08,16787,16461,17113,POINT (-86.2818 39.919991)
KS,23-05-2021,171,171,171,2.15,2.15,2.15,7953,7953,7953,POINT (-98.38018 38.484729)
LA,23-05-2021,238,234,241,1.94,1.94,1.94,12426,12426,12426,POINT (-91.840238 30.921314)
MD,23-05-2021,643,643,643,6.61,6.61,6.61,9734,9734,9734,POINT (-76.687282 38.946466)
MI,23-05-2021,1464,1463,1464,7.13,7.13,7.13,20535,20535,20535,POINT (-85.730977 44.874798)
AL,24-05-2021,374,374,374,2.68,2.68,2.68,13948,13948,13948,POINT (-86.844516 32.756889)
AR,24-05-2021,208,207,210,2.71,2.71,2.71,7705,7705,7705,POINT (-92.439162 34.899825)
CA,24-05-2021,1462,1453,1471,2.52,2.21,2.83,57995,57560,58429,POINT (-119.662127 37.211164)
CT,24-05-2021,173,173,173,2.23,2.23,2.23,7763,7763,7763,POINT (-72.738288 41.575155)
DC,24-05-2021,126,126,126,4.55,4.55,4.55,2767,2767,2767,POINT (-77.016275 38.904785)
GA,24-05-2021,1028,1027,1028,5.37,5.37,5.37,19135,19135,19135,POINT (-83.426574 32.638481)
ID,24-05-2021,120,119,120,3.67,3.67,3.67,3252,3252,3252,POINT (-114.659366 44.389073)
IN,24-05-2021,787,787,787,4.69,4.69,4.69,16797,16797,16797,POINT (-86.2818 39.919991)
KS,24-05-2021,163,163,163,2.05,2.05,2.05,7965,7965,7965,POINT (-98.38018 38.484729)
LA,24-05-2021,249,249,249,2.03,2.03,2.03,12451,12451,12451,POINT (-91.840238 30.921314)
MD,24-05-2021,639,639,639,6.66,6.66,6.66,9592,9592,9592,POINT (-76.687282 38.946466)
MI,24-05-2021,1454,1446,1462,7.08,6.69,7.47,20538,20441,20635,POINT (-85.730977 44.874798)
AL,25-05-2021,348,348,348,2.5,2.5,2.5,13946,13946,13946,POINT (-86.844516 32.756889)
AR,25-05-2021,218,218,218,2.81,2.81,2.81,7748,7748,7748,POINT (-92.439162 34.899825)
CA,25-05-2021,1439,1429,1450,2.45,2.08,2.81,58844,58298,59391,POINT (-119.662127 37.211164)
CT,25-05-2021,175,174,176,2.25,2.25,2.25,7764,7764,7764,POINT (-72.738288 41.575155)
DC,25-05-2021,119,119,119,4.3,4.3,4.3,2766,2766,2766,POINT (-77.016275 38.904785)
GA,25-05-2021,1020,1015,1024,5.3,5.3,5.3,19243,19243,19243,POINT (-83.426574 32.638481)
ID,25-05-2021,126,126,126,3.85,3.85,3.85,3274,3274,3274,POINT (-114.659366 44.389073)
IN,25-05-2021,797,797,797,4.73,4.73,4.73,16860,16860,16860,POINT (-86.2818 39.919991)
KS,25-05-2021,158,158,158,1.98,1.98,1.98,7984,7984,7984,POINT (-98.38018 38.484729)
LA,25-05-2021,248,248,248,2.02,2.02,2.02,12496,12496,12496,POINT (-91.840238 30.921314)
MD,25-05-2021,655,655,655,6.8,6.8,6.8,9638,9638,9638,POINT (-76.687282 38.946466)
MI,25-05-2021,1392,1392,1393,6.72,6.72,6.72,20725,20725,20725,POINT (-85.730977 44.874798)
AL,26-05-2021,352,352,352,2.53,2.53,2.53,13925,13925,13925,POINT (-86.844516 32.756889)
AR,26-05-2021,206,205,206,2.63,2.63,2.63,7806,7806,7806,POINT (-92.439162 34.899825)
CA,26-05-2021,1423,1412,1433,2.4,2.04,2.76,59294,58760,59827,POINT (-119.662127 37.211164)
CT,26-05-2021,174,174,174,2.24,2.24,2.24,7776,7776,7776,POINT (-72.738288 41.575155)
DC,26-05-2021,114,114,114,4.16,4.16,4.16,2740,2740,2740,POINT (-77.016275 38.904785)
GA,26-05-2021,1044,1044,1044,5.43,5.43,5.43,19236,19236,19236,POINT (-83.426574 32.638481)
ID,26-05-2021,127,127,127,3.87,3.87,3.87,3282,3282,3282,POINT (-114.659366 44.389073)
IN,26-05-2021,740,740,740,4.37,4.37,4.37,16931,16931,16931,POINT (-86.2818 39.919991)
KS,26-05-2021,159,159,159,1.99,1.99,1.99,7996,7983,8009,POINT (-98.38018 38.484729)
LA,26-05-2021,245,245,245,1.99,1.99,1.99,12508,12508,12508,POINT (-91.840238 30.921314)
MD,26-05-2021,631,631,631,6.54,6.54,6.54,9654,9654,9654,POINT (-76.687282 38.946466)
MI,26-05-2021,1345,1345,1345,6.45,6.45,6.45,20844,20844,20844,POINT (-85.730977 44.874798)
AL,27-05-2021,364,364,364,2.61,2.61,2.61,13926,13926,13926,POINT (-86.844516 32.756889)
AR,27-05-2021,212,212,212,2.72,2.72,2.72,7800,7800,7800,POINT (-92.439162 34.899825)
CA,27-05-2021,1385,1377,1394,2.34,2.04,2.64,59228,58786,59669,POINT (-119.662127 37.211164)
CT,27-05-2021,146,146,146,1.88,1.88,1.88,7767,7767,7767,POINT (-72.738288 41.575155)
DC,27-05-2021,119,119,119,4.33,4.33,4.33,2746,2746,2746,POINT (-77.016275 38.904785)
GA,27-05-2021,970,963,978,5.05,5.05,5.05,19228,19228,19228,POINT (-83.426574 32.638481)
ID,27-05-2021,119,119,119,3.62,3.62,3.62,3291,3291,3291,POINT (-114.659366 44.389073)
IN,27-05-2021,752,752,753,4.44,4.44,4.44,16934,16934,16934,POINT (-86.2818 39.919991)
KS,27-05-2021,170,170,170,2.12,2.12,2.12,8008,8008,8008,POINT (-98.38018 38.484729)
LA,27-05-2021,254,252,255,2.06,2.06,2.06,12508,12508,12508,POINT (-91.840238 30.921314)
MD,27-05-2021,619,619,619,6.41,6.41,6.41,9651,9651,9651,POINT (-76.687282 38.946466)
MI,27-05-2021,1247,1246,1248,5.98,5.98,5.98,20870,20870,20870,POINT (-85.730977 44.874798)
AL,28-05-2021,342,342,342,2.46,2.46,2.46,13917,13917,13917,POINT (-86.844516 32.756889)
AR,28-05-2021,207,207,207,2.67,2.67,2.67,7747,7747,7747,POINT (-92.439162 34.899825)
CA,28-05-2021,1347,1344,1351,2.28,2.17,2.39,59119,58962,59276,POINT (-119.662127 37.211164)
CT,28-05-2021,142,138,145,1.82,1.82,1.82,7779,7779,7779,POINT (-72.738288 41.575155)
DC,28-05-2021,128,128,128,4.67,4.67,4.67,2742,2742,2742,POINT (-77.016275 38.904785)
GA,28-05-2021,945,944,946,4.95,4.95,4.95,19098,19098,19098,POINT (-83.426574 32.638481)
ID,28-05-2021,112,112,113,3.43,3.43,3.43,3279,3279,3279,POINT (-114.659366 44.389073)
IN,28-05-2021,737,737,737,4.36,4.36,4.36,16907,16907,16907,POINT (-86.2818 39.919991)
KS,28-05-2021,156,154,159,1.96,1.96,1.96,7998,7998,7998,POINT (-98.38018 38.484729)
LA,28-05-2021,258,258,258,2.1,2.1,2.1,12483,12483,12483,POINT (-91.840238 30.921314)
MD,28-05-2021,570,570,570,5.93,5.93,5.93,9608,9608,9608,POINT (-76.687282 38.946466)
MI,28-05-2021,1178,1177,1178,5.67,5.67,5.67,20758,20758,20758,POINT (-85.730977 44.874798)
AL,29-05-2021,343,343,343,2.48,2.48,2.48,13854,13854,13854,POINT (-86.844516 32.756889)
AR,29-05-2021,207,206,208,2.69,2.69,2.69,7684,7684,7684,POINT (-92.439162 34.899825)
CA,29-05-2021,1376,1370,1381,2.34,2.17,2.51,58766,58545,58987,POINT (-119.662127 37.211164)
CT,29-05-2021,130,130,130,1.67,1.67,1.67,7780,7780,7780,POINT (-72.738288 41.575155)
DC,29-05-2021,126,126,126,4.6,4.6,4.6,2739,2739,2739,POINT (-77.016275 38.904785)
GA,29-05-2021,892,891,894,4.66,4.66,4.66,19172,19172,19172,POINT (-83.426574 32.638481)
ID,29-05-2021,111,111,111,3.4,3.4,3.4,3264,3264,3264,POINT (-114.659366 44.389073)
IN,29-05-2021,666,665,666,3.94,3.94,3.94,16879,16879,16879,POINT (-86.2818 39.919991)
KS,29-05-2021,134,132,135,1.67,1.67,1.67,7972,7972,7972,POINT (-98.38018 38.484729)
LA,29-05-2021,252,250,254,2.06,2.06,2.06,12423,12423,12423,POINT (-91.840238 30.921314)
MD,29-05-2021,529,529,529,5.47,5.47,5.47,9672,9672,9672,POINT (-76.687282 38.946466)
MI,29-05-2021,1096,1095,1096,5.32,5.32,5.32,20584,20584,20584,POINT (-85.730977 44.874798)
AL,30-05-2021,334,334,334,2.42,2.42,2.42,13822,13822,13822,POINT (-86.844516 32.756889)
AR,30-05-2021,201,201,201,2.66,2.66,2.66,7562,7562,7562,POINT (-92.439162 34.899825)
CA,30-05-2021,1310,1294,1325,2.25,1.87,2.63,58205,57992,58418,POINT (-119.662127 37.211164)
CT,30-05-2021,132,130,133,1.69,1.69,1.69,7771,7771,7771,POINT (-72.738288 41.575155)
DC,30-05-2021,112,112,112,4.14,4.14,4.14,2705,2705,2705,POINT (-77.016275 38.904785)
GA,30-05-2021,899,899,899,4.71,4.71,4.71,19105,19105,19105,POINT (-83.426574 32.638481)
ID,30-05-2021,117,117,117,3.59,3.59,3.59,3259,3259,3259,POINT (-114.659366 44.389073)
IN,30-05-2021,665,665,665,3.72,3.72,3.72,17885,17559,18211,POINT (-86.2818 39.919991)
KS,30-05-2021,138,138,138,1.73,1.73,1.73,7965,7952,7978,POINT (-98.38018 38.484729)
LA,30-05-2021,240,240,240,1.96,1.96,1.96,12423,12423,12423,POINT (-91.840238 30.921314)
MD,30-05-2021,499,499,499,5.18,5.18,5.18,9640,9640,9640,POINT (-76.687282 38.946466)
MI,30-05-2021,1057,1057,1057,5.19,5.17,5.22,20357,20353,20361,POINT (-85.730977 44.874798)
AL,31-05-2021,366,366,366,2.64,2.64,2.64,13838,13838,13838,POINT (-86.844516 32.756889)
AR,31-05-2021,220,219,221,2.89,2.89,2.89,7621,7621,7621,POINT (-92.439162 34.899825)
CA,31-05-2021,1344,1337,1351,2.3,2.11,2.49,58378,58201,58556,POINT (-119.662127 37.211164)
CT,31-05-2021,117,117,117,1.51,1.51,1.51,7757,7757,7757,POINT (-72.738288 41.575155)
DC,31-05-2021,120,120,120,4.42,4.42,4.42,2713,2713,2713,POINT (-77.016275 38.904785)
GA,31-05-2021,866,866,866,4.53,4.53,4.53,19123,19123,19123,POINT (-83.426574 32.638481)
ID,31-05-2021,115,115,115,3.52,3.52,3.52,3268,3268,3268,POINT (-114.659366 44.389073)
IN,31-05-2021,690,689,690,4.1,4.1,4.1,16803,16803,16803,POINT (-86.2818 39.919991)
KS,31-05-2021,120,120,120,1.51,1.51,1.51,7941,7941,7941,POINT (-98.38018 38.484729)
LA,31-05-2021,255,255,255,2.09,2.09,2.09,12413,12413,12413,POINT (-91.840238 30.921314)
MD,31-05-2021,506,506,506,5.2,5.2,5.2,9735,9735,9735,POINT (-76.687282 38.946466)
MI,31-05-2021,1026,1026,1026,5.04,5.04,5.04,20362,20362,20362,POINT (-85.730977 44.874798)
AL,01-06-2021,345,345,345,2.49,2.49,2.49,13881,13881,13881,POINT (-86.844516 32.756889)
AR,01-06-2021,221,221,221,2.9,2.9,2.9,7621,7621,7621,POINT (-92.439162 34.899825)
CA,01-06-2021,1344,1342,1345,2.3,2.27,2.32,58476,58450,58502,POINT (-119.662127 37.211164)
CT,01-06-2021,127,127,127,1.64,1.64,1.64,7756,7756,7756,POINT (-72.738288 41.575155)
DC,01-06-2021,103,103,103,3.77,3.77,3.77,2731,2731,2731,POINT (-77.016275 38.904785)
GA,01-06-2021,870,870,870,4.55,4.55,4.55,19118,19118,19118,POINT (-83.426574 32.638481)
ID,01-06-2021,119,119,119,3.68,3.68,3.68,3235,3235,3235,POINT (-114.659366 44.389073)
IN,01-06-2021,679,675,683,4.04,4.04,4.04,16813,16813,16813,POINT (-86.2818 39.919991)
KS,01-06-2021,117,116,118,1.47,1.47,1.47,7959,7959,7959,POINT (-98.38018 38.484729)
LA,01-06-2021,278,277,280,2.27,2.27,2.27,12485,12485,12485,POINT (-91.840238 30.921314)
MD,01-06-2021,510,510,510,5.33,5.33,5.33,9574,9574,9574,POINT (-76.687282 38.946466)
MI,01-06-2021,1008,1008,1009,4.92,4.92,4.92,20503,20503,20503,POINT (-85.730977 44.874798)
AL,02-06-2021,322,322,322,2.31,2.31,2.31,13911,13911,13911,POINT (-86.844516 32.756889)
AR,02-06-2021,225,225,225,2.91,2.91,2.91,7731,7731,7731,POINT (-92.439162 34.899825)
CA,02-06-2021,1348,1348,1348,2.29,2.29,2.29,58755,58755,58755,POINT (-119.662127 37.211164)
CT,02-06-2021,130,130,130,1.67,1.67,1.67,7770,7770,7770,POINT (-72.738288 41.575155)
DC,02-06-2021,106,106,106,3.85,3.85,3.85,2753,2753,2753,POINT (-77.016275 38.904785)
GA,02-06-2021,834,834,834,4.34,4.34,4.34,19232,19232,19232,POINT (-83.426574 32.638481)
ID,02-06-2021,114,114,114,3.47,3.47,3.47,3289,3289,3289,POINT (-114.659366 44.389073)
IN,02-06-2021,652,652,652,3.86,3.86,3.86,16874,16874,16874,POINT (-86.2818 39.919991)
KS,02-06-2021,136,136,136,1.7,1.7,1.7,7994,7994,7994,POINT (-98.38018 38.484729)
LA,02-06-2021,276,267,285,2.23,2.23,2.23,12560,12560,12560,POINT (-91.840238 30.921314)
MD,02-06-2021,532,532,532,5.52,5.52,5.52,9639,9639,9639,POINT (-76.687282 38.946466)
MI,02-06-2021,964,960,968,4.65,4.65,4.65,20740,20740,20740,POINT (-85.730977 44.874798)
AL,03-06-2021,321,321,321,2.31,2.31,2.31,13885,13885,13885,POINT (-86.844516 32.756889)
AR,03-06-2021,215,215,215,2.78,2.69,2.87,7738,7722,7754,POINT (-92.439162 34.899825)
CA,03-06-2021,1324,1309,1340,2.24,1.83,2.66,59077,58661,59493,POINT (-119.662127 37.211164)
CT,03-06-2021,126,125,127,1.62,1.62,1.62,7789,7789,7789,POINT (-72.738288 41.575155)
DC,03-06-2021,110,110,110,3.97,3.97,3.97,2772,2772,2772,POINT (-77.016275 38.904785)
GA,03-06-2021,838,837,840,4.36,4.36,4.36,19237,19237,19237,POINT (-83.426574 32.638481)
ID,03-06-2021,119,119,119,3.61,3.61,3.61,3297,3297,3297,POINT (-114.659366 44.389073)
IN,03-06-2021,640,639,641,3.79,3.79,3.79,16889,16889,16889,POINT (-86.2818 39.919991)
KS,03-06-2021,136,135,137,1.7,1.7,1.7,7985,7985,7985,POINT (-98.38018 38.484729)
LA,03-06-2021,272,271,273,2.2,2.2,2.2,12588,12588,12588,POINT (-91.840238 30.921314)
MD,03-06-2021,513,513,513,5.29,5.29,5.29,9690,9690,9690,POINT (-76.687282 38.946466)
MI,03-06-2021,904,899,909,4.35,4.12,4.58,20770,20735,20805,POINT (-85.730977 44.874798)
AL,04-06-2021,291,290,292,2.09,2.09,2.09,13909,13909,13909,POINT (-86.844516 32.756889)
AR,04-06-2021,212,210,213,2.73,2.41,3.04,7751,7732,7770,POINT (-92.439162 34.899825)
CA,04-06-2021,1346,1343,1348,2.28,2.05,2.52,58975,58529,59421,POINT (-119.662127 37.211164)
CT,04-06-2021,122,120,125,1.57,1.57,1.57,7791,7791,7791,POINT (-72.738288 41.575155)
DC,04-06-2021,111,111,111,4.02,4.02,4.02,2759,2759,2759,POINT (-77.016275 38.904785)
GA,04-06-2021,803,802,804,4.17,4.17,4.17,19239,19239,19239,POINT (-83.426574 32.638481)
ID,04-06-2021,118,117,119,3.6,3.6,3.6,3280,3280,3280,POINT (-114.659366 44.389073)
IN,04-06-2021,611,611,611,3.63,3.63,3.63,16834,16834,16834,POINT (-86.2818 39.919991)
KS,04-06-2021,136,136,136,1.7,1.67,1.73,7996,7988,8004,POINT (-98.38018 38.484729)
LA,04-06-2021,264,261,266,2.13,2.13,2.13,12566,12566,12566,POINT (-91.840238 30.921314)
MD,04-06-2021,513,513,513,5.33,5.33,5.33,9623,9623,9623,POINT (-76.687282 38.946466)
MI,04-06-2021,869,862,876,4.18,4.18,4.18,20785,20785,20785,POINT (-85.730977 44.874798)
AL,05-06-2021,305,305,305,2.2,2.2,2.2,13857,13857,13857,POINT (-86.844516 32.756889)
AR,05-06-2021,212,212,213,2.76,2.66,2.87,7686,7665,7707,POINT (-92.439162 34.899825)
CA,05-06-2021,1314,1305,1323,2.21,1.92,2.51,59403,58981,59826,POINT (-119.662127 37.211164)
CT,05-06-2021,124,118,131,1.6,1.6,1.6,7791,7791,7791,POINT (-72.738288 41.575155)
DC,05-06-2021,115,115,115,4.19,4.19,4.19,2744,2744,2744,POINT (-77.016275 38.904785)
GA,05-06-2021,784,783,786,4.08,4.08,4.08,19229,19229,19229,POINT (-83.426574 32.638481)
ID,05-06-2021,107,107,107,3.27,3.27,3.27,3277,3277,3277,POINT (-114.659366 44.389073)
IN,05-06-2021,580,565,595,3.45,2.21,4.69,16804,16446,17163,POINT (-86.2818 39.919991)
KS,05-06-2021,125,125,125,1.57,1.49,1.65,7971,7946,7996,POINT (-98.38018 38.484729)
LA,05-06-2021,256,256,256,2.08,2.08,2.08,12503,12503,12503,POINT (-91.840238 30.921314)
MD,05-06-2021,480,475,484,4.93,4.93,4.93,9721,9721,9721,POINT (-76.687282 38.946466)
MI,05-06-2021,789,778,800,3.84,3.27,4.4,20569,20471,20667,POINT (-85.730977 44.874798)
AL,06-06-2021,302,302,302,2.18,2.18,2.18,13842,13842,13842,POINT (-86.844516 32.756889)
