state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CO,21-05-2021,594,592,595,5.95,5.95,5.95,9975,9975,9975,POINT (-105.547832 38.998552)
DE,21-05-2021,73,73,73,2.46,2.46,2.46,2972,2972,2972,POINT (-75.452394 38.994926)
FL,21-05-2021,2711,2711,2711,5.25,5.25,5.25,52630,52630,52630,POINT (-82.420978 28.260731)
HI,21-05-2021,68,68,68,2.74,2.74,2.74,2480,2480,2480,POINT (-157.854309 21.361013)
IA,21-05-2021,208,206,210,2.74,2.74,2.74,7682,7682,7682,POINT (-93.500061 42.074659)
IL,21-05-2021,1488,1486,1490,5.17,5.17,5.17,28799,28799,28799,POINT (-89.148632 40.124144)
KY,21-05-2021,374,373,374,3.06,3.06,3.06,12221,12221,12221,POINT (-85.290484 37.526683)
MA,21-05-2021,267,267,267,1.59,1.59,1.59,16774,16774,16774,POINT (-71.481104 42.151077)
ME,21-05-2021,128,128,128,4.47,4.47,4.47,2865,2865,2865,POINT (-69.06137 45.117911)
MN,21-05-2021,470,470,470,4.83,4.83,4.83,9725,9725,9725,POINT (-94.198308 46.349153)
MO,21-05-2021,690,690,690,4.78,4.78,4.78,14443,14443,14443,POINT (-92.477244 38.3675)
MS,21-05-2021,236,236,236,3,2.92,3.08,7863,7844,7882,POINT (-89.65344 32.713378)
MT,21-05-2021,69,69,69,2.42,2.42,2.42,2857,2857,2857,POINT (-109.645127 47.033521)
ND,21-05-2021,87,86,88,4.29,4.29,4.29,2026,2026,2026,POINT (-100.46931 47.446305)
NE,21-05-2021,92,92,92,2.32,2.32,2.32,4043,4043,4043,POINT (-99.810595 41.527099)
NH,21-05-2021,66,66,66,2.38,2.38,2.38,2776,2776,2776,POINT (-71.57139 43.680429)
NJ,21-05-2021,736,736,736,3.62,3.62,3.62,20328,20328,20328,POINT (-74.655514 40.110253)
NM,21-05-2021,154,154,154,4.17,4.05,4.29,3691,3683,3699,POINT (-106.108388 34.421369)
NV,21-05-2021,262,261,263,3.54,3.54,3.54,7576,7576,7576,POINT (-114.916992 39.283294)
NY,21-05-2021,1879,1879,1879,3.9,3.9,3.9,48200,47839,48561,POINT (-75.59655 42.921241)
OK,21-05-2021,210,209,211,2.25,2.06,2.45,9420,9372,9468,POINT (-97.508297 35.583449)
PA,21-05-2021,1614,1601,1627,5.47,5.07,5.87,29840,29765,29914,POINT (-77.838886 40.896694)
SC,21-05-2021,255,254,256,2.82,2.82,2.82,9048,9048,9048,POINT (-80.864614 33.878572)
SD,21-05-2021,52,52,52,2.2,2.2,2.2,2364,2364,2364,POINT (-100.230491 44.43614)
TN,21-05-2021,625,625,625,3.63,3.63,3.63,17618,17618,17618,POINT (-86.343226 35.842998)
UT,21-05-2021,121,121,121,2.27,2.27,2.27,5322,5322,5322,POINT (-111.678222 39.323779)
VA,21-05-2021,550,550,550,3.4,3.4,3.4,16156,16156,16156,POINT (-78.666382 37.510861)
AK,22-05-2021,19,19,19,1.32,1.32,1.32,1440,1440,1440,POINT (-151.631889 63.631126)
AZ,22-05-2021,557,557,557,3.98,3.95,4.01,14010,13998,14022,POINT (-111.664616 34.293239)
CO,22-05-2021,580,572,588,5.82,5.82,5.82,9962,9962,9962,POINT (-105.547832 38.998552)
DE,22-05-2021,71,71,71,2.39,2.39,2.39,2968,2968,2968,POINT (-75.452394 38.994926)
FL,22-05-2021,2586,2586,2587,5.03,5.03,5.03,52342,52342,52342,POINT (-82.420978 28.260731)
HI,22-05-2021,50,50,50,2.01,2.01,2.01,2484,2484,2484,POINT (-157.854309 21.361013)
IA,22-05-2021,206,205,208,2.72,2.5,2.95,7679,7672,7686,POINT (-93.500061 42.074659)
IL,22-05-2021,1447,1446,1448,5.03,5.03,5.03,28743,28743,28743,POINT (-89.148632 40.124144)
KY,22-05-2021,351,351,351,2.87,2.87,2.87,12224,12224,12224,POINT (-85.290484 37.526683)
MA,22-05-2021,260,259,262,1.56,1.56,1.56,16702,16702,16702,POINT (-71.481104 42.151077)
ME,22-05-2021,122,122,122,4.27,4.27,4.27,2854,2854,2854,POINT (-69.06137 45.117911)
MN,22-05-2021,457,457,457,4.75,4.75,4.75,9617,9617,9617,POINT (-94.198308 46.349153)
MO,22-05-2021,646,646,646,4.58,4.58,4.58,14117,14117,14117,POINT (-92.477244 38.3675)
MS,22-05-2021,222,221,223,2.85,2.66,3.04,7797,7782,7812,POINT (-89.65344 32.713378)
MT,22-05-2021,71,71,71,2.48,2.48,2.48,2860,2860,2860,POINT (-109.645127 47.033521)
ND,22-05-2021,71,71,71,3.55,3.55,3.55,2000,2000,2000,POINT (-100.46931 47.446305)
NE,22-05-2021,92,92,92,2.34,2.34,2.34,4012,4012,4012,POINT (-99.810595 41.527099)
NH,22-05-2021,60,60,60,2.16,2.16,2.16,2776,2776,2776,POINT (-71.57139 43.680429)
NJ,22-05-2021,716,714,717,3.53,3.53,3.53,20286,20286,20286,POINT (-74.655514 40.110253)
NM,22-05-2021,144,143,145,3.9,3.9,3.9,3695,3695,3695,POINT (-106.108388 34.421369)
NV,22-05-2021,264,264,264,3.56,3.56,3.56,7581,7581,7581,POINT (-114.916992 39.283294)
NY,22-05-2021,1835,1834,1836,3.86,3.86,3.86,47513,47513,47513,POINT (-75.59655 42.921241)
OK,22-05-2021,208,208,208,2.25,2.25,2.25,9337,9337,9337,POINT (-97.508297 35.583449)
PA,22-05-2021,1531,1518,1544,5.17,4.77,5.57,29947,29887,30006,POINT (-77.838886 40.896694)
SC,22-05-2021,245,245,245,2.72,2.72,2.72,9009,9009,9009,POINT (-80.864614 33.878572)
SD,22-05-2021,47,47,47,1.99,1.99,1.99,2364,2364,2364,POINT (-100.230491 44.43614)
TN,22-05-2021,616,611,621,3.58,3.58,3.58,17621,17621,17621,POINT (-86.343226 35.842998)
UT,22-05-2021,130,128,131,2.43,2.43,2.43,5323,5323,5323,POINT (-111.678222 39.323779)
VA,22-05-2021,511,510,512,3.17,3.17,3.17,16133,16133,16133,POINT (-78.666382 37.510861)
AK,23-05-2021,19,19,19,1.31,1.31,1.31,1446,1446,1446,POINT (-151.631889 63.631126)
AZ,23-05-2021,546,546,546,3.97,3.94,4,13758,13749,13767,POINT (-111.664616 34.293239)
CO,23-05-2021,571,561,581,5.73,5.73,5.73,9961,9961,9961,POINT (-105.547832 38.998552)
DE,23-05-2021,76,76,76,2.57,2.57,2.57,2960,2960,2960,POINT (-75.452394 38.994926)
FL,23-05-2021,2571,2571,2571,5.02,5.02,5.02,52153,52153,52153,POINT (-82.420978 28.260731)
HI,23-05-2021,56,56,56,2.26,2.26,2.26,2479,2479,2479,POINT (-157.854309 21.361013)
IA,23-05-2021,208,208,208,2.75,2.75,2.75,7674,7674,7674,POINT (-93.500061 42.074659)
IL,23-05-2021,1425,1425,1425,4.96,4.96,4.96,28702,28702,28702,POINT (-89.148632 40.124144)
KY,23-05-2021,352,351,352,2.87,2.87,2.87,12227,12227,12227,POINT (-85.290484 37.526683)
MA,23-05-2021,282,282,283,1.71,1.67,1.75,16530,16507,16552,POINT (-71.481104 42.151077)
ME,23-05-2021,124,124,124,4.34,4.34,4.34,2856,2856,2856,POINT (-69.06137 45.117911)
MN,23-05-2021,454,453,456,4.84,4.84,4.84,9397,9397,9397,POINT (-94.198308 46.349153)
MO,23-05-2021,622,621,622,4.46,4.46,4.46,13925,13925,13925,POINT (-92.477244 38.3675)
MS,23-05-2021,215,215,215,2.76,2.76,2.76,7791,7791,7791,POINT (-89.65344 32.713378)
MT,23-05-2021,66,66,66,2.31,2.31,2.31,2860,2860,2860,POINT (-109.645127 47.033521)
ND,23-05-2021,77,77,77,3.89,3.8,3.97,1980,1976,1984,POINT (-100.46931 47.446305)
NE,23-05-2021,85,85,85,2.17,2.17,2.17,4000,4000,4000,POINT (-99.810595 41.527099)
NH,23-05-2021,52,52,52,1.87,1.87,1.87,2776,2776,2776,POINT (-71.57139 43.680429)
NJ,23-05-2021,704,704,704,3.47,3.47,3.47,20286,20286,20286,POINT (-74.655514 40.110253)
