station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-02-11,4.1,18.14,11.84,4.697574,300,12.079476,1.4173236,18.110246,0.11023628
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-02-11,-20.74,2.12,-1.12,8.94776,240,23.935258,0.1968505,5.905515,0.01181103
YAKUTAT STATE AP,AK,59.5119,-139.6711,10.1,2017-02-11,30.2,42.98,32.9,10.961006,180,35.119958,5.1968532,9.842525,1.29133928
ALBANY AP,NY,42.7431,-73.8092,95.1,2017-02-11,20.12,33.98,26.24,6.039738,160,25.053728,0.787402,7.87402,0.05905515
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,2017-02-11,9.14,24.26,15.98,5.368656,130,12.079476,0.5905515,3.93701,0.05118113
JUNEAU INTL AP,AK,58.3567,-134.5639,4.9,2017-02-11,32,35.96,33.26,28.409138,110,53.910254,0.393701,1.181103,1.85826872
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-02-11,-1.84,11.12,5.18,7.605596,20,19.908766,2.5984266,7.9921303,0.07086618
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,2017-02-11,27.14,39.92,34.88,9.618842,20,27.96175,2.5196864,3.149608,0.25196864
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,2017-02-12,20.12,29.12,23.9,8.500372,350,17.000744,5.0000027,16.8897729,0.6692917
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,2017-02-12,32,37.04,35.78,10.737312,330,23.935258,0.1181103,5.118113,0.40157502
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-02-12,24.26,32,28.04,11.855782,320,44.067718,4.0944904,22.047256,0.33070884
BINGHAMTON,NY,42.1997,-75.985,489.5,2017-02-12,28.22,33.08,30.92,10.06623,310,38.922756,5.5905542,3.149608,0.85039416
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,2017-02-12,32,39.92,35.96,8.052984,310,21.027236,0.1181103,3.149608,0.42913409
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-02-12,26.24,35.96,31.1,7.82929,310,36.014734,1.6141741,5.118113,0.12992133
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-02-12,25.16,35.06,31.64,11.632088,300,38.922756,1.181103,7.086618,0.14960638
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-02-12,27.14,33.98,29.84,8.052984,270,33.106712,5.511814,1.968505,0.57086645
ALBANY AP,NY,42.7431,-73.8092,95.1,2017-02-12,23.18,31.1,26.24,3.35541,190,12.974252,7.5984293,7.086618,0.70078778
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,2017-02-12,9.14,28.22,18.32,5.144962,160,27.066974,7.5984293,3.93701,0.44881914
YAKUTAT STATE AP,AK,59.5119,-139.6711,10.1,2017-02-12,31.1,39.02,35.78,7.605596,120,29.08022,0.9842525,9.842525,0.48031522
KODIAK AP,AK,57.7511,-152.4856,24.4,2017-02-12,9.14,39.92,17.24,9.395148,90,34.001488,3.5039389,3.149608,0.77165396
NEW YORK LAGUARDIA AP,NY,40.7794,-73.8803,3.4,2017-02-12,32,39.92,35.96,11.408394,50,25.948504,0.3149608,1.968505,0.42126007
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-02-12,15.26,23.18,17.06,10.513618,50,27.066974,9.4094539,9.055123,1.12992187
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,2017-02-12,27.14,35.06,31.64,10.513618,40,21.922012,2.5196864,5.905515,0.5118113
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-02-12,4.1,25.16,16.34,5.144962,30,21.027236,5.5905542,16.929143,0.53149635
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-02-12,8.24,23.18,12.74,8.500372,20,19.908766,2.7165369,9.0157529,0.14173236
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,2017-02-12,20.12,33.98,24.98,9.842536,10,19.01399,2.9133874,9.055123,0.61023655
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-02-12,14.18,18.14,16.88,17.89552,10,36.90951,0.5905515,1.181103,0.03149608
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-02-13,19.22,25.16,20.48,22.3694,350,53.015478,21.4960746,17.9921357,0.90157529
KING SALMON,AK,58.6794,-156.6294,19.2,2017-02-13,5.18,21.2,8.06,6.487126,350,31.093466,0.393701,1.181103,0.03149608
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-02-13,10.22,16.16,13.46,29.303914,350,44.962494,0.9055123,1.968505,0.01968505
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-13,19.22,32,19.22,5.816044,350,19.01399,0.393701,22.834658,0.05118113
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-02-13,20.12,27.14,23.18,19.461378,340,42.054472,6.692917,20.078751,0.44094512
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,2017-02-13,20.12,28.22,24.44,11.408394,320,29.974996,3.5826791,11.81103,0.16141741
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-02-13,20.12,30.2,25.16,14.316416,310,40.041226,2.5196864,24.015761,0.18110246
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-02-13,24.26,32,30.92,12.079476,310,36.90951,0.3149608,1.181103,0.01181103
BINGHAMTON,NY,42.1997,-75.985,489.5,2017-02-13,20.12,31.1,26.24,15.211192,300,40.041226,5.0000027,9.055123,0.09842525
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,2017-02-13,21.2,33.98,29.84,16.553356,290,51.002232,0.1181103,12.992133,0.01181103
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,2017-02-13,26.24,33.08,30.38,13.645334,280,38.02798,4.8818924,3.93701,0.25196864
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-02-13,24.26,32,28.22,14.987498,270,38.922756,7.2834685,11.81103,0.25196864
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,2017-02-13,31.1,39.92,36.14,5.368656,120,21.922012,0.5118113,1.181103,0.07086618
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,2017-02-13,27.14,35.06,32.54,6.039738,30,25.948504,2.0866153,1.181103,0.27165369
BETHEL AP,AK,60.785,-161.8292,31.1,2017-02-13,-12.82,7.16,-9.04,27.514362,10,46.080964,1.4173236,7.086618,0.14173236
